1726780982;Leonardo;Mera;984092631;leme82@gmail.com;shirys y portugal n32-67
1720783693;Alberto;Arce;972772727;alac93@gmail.com;av. amazonas n35-211 y ja
1722182886;Madelin;Rivera;972727722;mari86@gmail.com;9 de octubre n26-56 y san
1717301491;Maria;Astudillo;988282828;maas91@gmail.com;av. 10 de agosto n11-409 
1721926390;Victor;Andrade;972727727;vian90@gmail.com;veintimilla e4-66 y amazo
1718296652;Viviana;Echeveria;972767222;viec18@gmail.com;ladron de guevara e11-253
1303092066;Edison;Huilca;976266622;edhu66@gmail.com;av. republica e7-16 y la 
1718296518;Sandra;Erazo;901188288;saer18@gmail.com;av- moran valverde oe1-63
1600312217;Marcos;Naranjo;966626171;mana17@gmail.com;japon n 3614 y corea
1714525530;Ruth;Mendez;962566222;rume30@gmail.com;isla pinzon n43-61 y emil
